Time (TU),X (LU),Y (LU),Z (LU),VX (LU/TU),VY (LU/TU),VZ (LU/TU)
1.456562322895905,0.848149681226331,-0.008729816185668916,-9.521455274987493e-33,-0.003879264780128321,-0.08606246772602279,1.6875466177919238e-32
1.4636314873795375,0.8481212696185202,-0.00933689596376431,-9.400743149006165e-33,-0.004159040624931112,-0.08568770124360703,1.7275351228086037e-32
1.4707193796098486,0.8480907943784384,-0.00994283580896078,-9.276892925049682e-33,-0.004440329993693999,-0.08528700518396688,1.7670683887478322e-32
1.4778271968617305,0.8480582284572941,-0.01054753843568114,-9.149901070852308e-33,-0.00472321673907097,-0.08486028159050331,1.8061351583370868e-32
1.4849561183037177,0.8480235432032096,-0.011150901276845761,-9.019764063673166e-33,-0.005007781084143843,-0.08440742923189724,1.8447238203164856e-32
1.4921072873918786,0.8479867084834442,-0.011752814823096742,-8.8864788182129e-33,-0.005294098667248138,-0.08392834539014149,1.8828223158633907e-32
1.499281814918393,0.8479476927233633,-0.012353162745889486,-8.750042758477849e-33,-0.0055822403939956656,-0.0834229265325014,1.9204181627109833e-32
1.5064807604404942,0.8479064630693741,-0.012951820233313446,-8.610454305537327e-33,-0.00587227140831048,-0.08289107056000422,1.9574983687927244e-32
1.5137051166514757,0.8478629855687305,-0.01354865264390359,-8.467713346914708e-33,-0.0061642501578599955,-0.08233267920724557,1.9940493723714572e-32
1.5209558218256007,0.8478172251988705,-0.01414351653147518,-8.321821167753304e-33,-0.006458228577389784,-0.08174765844391846,2.0300571310603726e-32
1.5282337145830818,0.8477691462682538,-0.01473625597211349,-8.172781543277142e-33,-0.006754249922963034,-0.08113592356024087,2.0655069278519423e-32
1.5355395551059718,0.8477187124333834,-0.01532670443667905,-8.020600527308345e-33,-0.007052349279561563,-0.08049739923020761,2.1003835196530702e-32
1.5428739694188764,0.8476658872488645,-0.0159146804783335,-7.865287832298808e-33,-0.007352550926078174,-0.07983202623203611,2.134670920420857e-32
1.5502374669388368,0.8476106342628338,-0.016499989483433293,-7.706856727459908e-33,-0.007654868668674263,-0.07913976223287075,2.168352552110933e-32
1.557630394949292,0.8475529175895119,-0.01708242045646771,-7.545325279222347e-33,-0.007959303588175459,-0.07842058841780127,2.2014111097290543e-32
1.5650529326177476,0.8474927022453633,-0.01766174612973737,-7.38071678637694e-33,-0.008265843396673455,-0.07767451291036401,2.2338286288223684e-32
1.5725050639623874,0.8474299546850744,-0.018237721549823123,-7.213060687799267e-33,-0.008574460930471144,-0.07690157644700327,2.2655864722616436e-32
1.5799865652041643,0.8473646432684679,-0.01881008395877027,-7.042393172820142e-33,-0.008885113243519014,-0.07610185691438566,2.2966653974559312e-32
1.587496962957491,0.8472967390283406,-0.019378550623570842,-6.868758471958565e-33,-0.009197739506667612,-0.07527547726594315,2.3270455197181447e-32
1.5950355538325787,0.847226215941982,-0.01994282153500703,-6.692208750839511e-33,-0.009512261486351023,-0.07442260704076264,2.356706545773367e-32
1.6026013500120733,0.8471530519025283,-0.02050257665923389,-6.512805706146454e-33,-0.009828580986004715,-0.0735434720737559,2.385627719636488e-32
1.6101930966702043,0.8470772290732109,-0.021057478793955635,-6.330620490071936e-33,-0.010146580332940547,-0.07263835634736436,2.413788071479646e-32
1.6178092713205516,0.8469987344054993,-0.02160717514040001,-6.1457340101397866e-33,-0.010466122188117617,-0.07170760555491941,2.4411665943158267e-32
1.625448070789482,0.8469175602981313,-0.022151298101962986,-5.9582374985853285e-33,-0.01078704891811685,-0.07075163202383193,2.4677423814548204e-32
1.6331074344693852,0.8468337048826092,-0.02268946878493837,-5.768232158752489e-33,-0.011109183582978051,-0.06977091493300269,2.493494894814657e-32
1.640785069041623,0.8467471722492222,-0.023221300553603715,-5.575828698187272e-33,-0.011432331093640372,-0.06876599968587598,2.518404222560913e-32
1.6484784861824202,0.8466579724720433,-0.023746403390878194,-5.381146456117474e-33,-0.011756280025863937,-0.06773749486643867,2.54245135878322e-32
1.6561850450588067,0.8465661214995366,-0.024264388403774095,-5.1843123180657415e-33,-0.01208080474465771,-0.06668606767591821,2.5656184688914265e-32
1.6639019865206612,0.846471641059496,-0.024774871553759563,-4.985459755496286e-33,-0.012405667280283195,-0.06561243963449717,2.5878890983632533e-32
1.6716265044481051,0.8463745580160164,-0.025277479582624496,-4.7847268247507204e-33,-0.012730620857810493,-0.06451737624138744,2.609248453672124e-32
1.6793557966219497,0.8462749038444599,-0.025771854168757394,-4.582254594581055e-33,-0.013055412634141244,-0.06340167836185134,2.629683574114942e-32
1.687087113406908,0.8461727140250245,-0.026257655580387573,-4.3781855603159175e-33,-0.013379786391489817,-0.06226617307989985,2.649183456180845e-32
1.6948178159562604,0.846068027199016,-0.026734566535456358,-4.1726617462161173e-33,-0.013703485654810403,-0.06111170236166601,2.667739159425306e-32
1.702545416797382,0.8459608844473564,-0.027202294543052893,-3.9658232240021135e-33,-0.014026256068486722,-0.059939113592814924,2.6853438255655104e-32
